"Shrestha, Ajay Kumar"," Vassileva, Julita"
" Yang, Jing"," Yin, Shu"
" Gao, Feng"," Li, Yandong"
" Gao, Feng"," Zhang, Chuan"
" Gao, Feng"," Liu, Sheng"
" Gao, Feng"," Yin, Shu"
" Li, Yandong"," Zhang, Chuan"
" Li, Yandong"," Liu, Sheng"
" Li, Yandong"," Yin, Shu"
" Zhang, Chuan"," Liu, Sheng"
" Zhang, Chuan"," Yin, Shu"
" Liu, Sheng"," Yin, Shu"
"Delgado-Segura, Sergi"," Perez-Sola, Cristina"
"Delgado-Segura, Sergi"," Herrera-Joancomarti, Jordi"
"Delgado-Segura, Sergi"," Navarro-Arribas, Guillermo"
" Perez-Sola, Cristina"," Herrera-Joancomarti, Jordi"
" Perez-Sola, Cristina"," Navarro-Arribas, Guillermo"
" Herrera-Joancomarti, Jordi"," Navarro-Arribas, Guillermo"
"Corbet, Shaen"," Lucey, Brian"
"Corbet, Shaen"," Peat, Maurice"
"Corbet, Shaen"," Vigne, Samuel"
" Lucey, Brian"," Peat, Maurice"
" Lucey, Brian"," Vigne, Samuel"
" Peat, Maurice"," Vigne, Samuel"
"Yenidogan, Isil"," Cayir, Aykut"
"Yenidogan, Isil"," Kozan, Ozan"
"Yenidogan, Isil"," Dag, Tugce"
"Yenidogan, Isil"," Arslan, Cigdem"
" Cayir, Aykut"," Kozan, Ozan"
" Cayir, Aykut"," Dag, Tugce"
" Cayir, Aykut"," Arslan, Cigdem"
" Kozan, Ozan"," Dag, Tugce"
" Kozan, Ozan"," Arslan, Cigdem"
" Dag, Tugce"," Arslan, Cigdem"
"Phaladisailoed, Thearasak"," Numnonda, Thanisa"
"Di Battista, Giuseppe"," Di Donato, Valentino"
"Di Battista, Giuseppe"," Pizzonia, Maurizio"
" Di Donato, Valentino"," Pizzonia, Maurizio"
"Ceyhan, Kivanc"," Kurtulmaz, Ekim"
"Ceyhan, Kivanc"," Sert, Onur Can"
"Ceyhan, Kivanc"," Ozyer, Tansel"
" Kurtulmaz, Ekim"," Sert, Onur Can"
" Kurtulmaz, Ekim"," Ozyer, Tansel"
" Sert, Onur Can"," Ozyer, Tansel"
"Wang, Qi"," Li, Xiangxue"
"Wang, Qi"," Yu, Yu"
" Li, Xiangxue"," Yu, Yu"
"Bartoletti, Massimo"," Pes, Barbara"
"Bartoletti, Massimo"," Serusi, Sergio"
" Pes, Barbara"," Serusi, Sergio"
"Cai, Linxiang"," Wang, Binjun"
"Roy, Shaily"," Nanjiba, Samiha"
"Roy, Shaily"," Chakrabarty, Amitabha"
" Nanjiba, Samiha"," Chakrabarty, Amitabha"
"Corbet, Shaen"," Yarovaya, Larisa"
" Lucey, Brian"," Yarovaya, Larisa"
"Bartoletti, Massimo"," Zunino, Roberto"
"Kow, Yong Ming"," Lustig, Caitlin"
"Rajput, Ubaidullah"," Abbas, Fizza"
"Rajput, Ubaidullah"," Oh, Heekuck"
" Abbas, Fizza"," Oh, Heekuck"
"Rahouti, Mohamed"," Xiong, Kaiqi"
"Rahouti, Mohamed"," Ghani, Nasir"
" Xiong, Kaiqi"," Ghani, Nasir"
"Khuntia, Sashikanta"," Pattanayak, J. K."
"Baur, Dirk G."," Dimpfl, Thomas"
"Baur, Dirk G."," Kuck, Konstantin"
" Dimpfl, Thomas"," Kuck, Konstantin"
"Pappalardo, Giuseppe"," Di Matteo, Tiziana"
"Pappalardo, Giuseppe"," Caldarelli, Guido"
"Pappalardo, Giuseppe"," Aste, Tomaso"
" Di Matteo, Tiziana"," Caldarelli, Guido"
" Di Matteo, Tiziana"," Aste, Tomaso"
" Caldarelli, Guido"," Aste, Tomaso"
"Hinds-Charles, Chelsea"," Adames, Jenelee"
"Hinds-Charles, Chelsea"," Yang, Ye"
"Hinds-Charles, Chelsea"," Shen, Yusong"
"Hinds-Charles, Chelsea"," Wang, Yong"
" Adames, Jenelee"," Yang, Ye"
" Adames, Jenelee"," Shen, Yusong"
" Adames, Jenelee"," Wang, Yong"
" Yang, Ye"," Shen, Yusong"
" Yang, Ye"," Wang, Yong"
" Shen, Yusong"," Wang, Yong"
"Zareh, Atefeh"," Shahriari, Hamid Reza"
"Ali, Syed Taha"," McCorry, Patrick"
"Ali, Syed Taha"," Lee, Peter Hyun-Jeen"
"Ali, Syed Taha"," Hao, Feng"
" McCorry, Patrick"," Lee, Peter Hyun-Jeen"
" McCorry, Patrick"," Hao, Feng"
" Lee, Peter Hyun-Jeen"," Hao, Feng"
"Qin, Rui"," Yuan, Yong"
"Qin, Rui"," Wang, Shuai"
"Qin, Rui"," Wang, Fei-Yue"
" Yuan, Yong"," Wang, Shuai"
" Yuan, Yong"," Wang, Fei-Yue"
" Wang, Shuai"," Wang, Fei-Yue"
"Fiz, Beltran"," Hommes, Stefan"
"Fiz, Beltran"," State, Radu"
" Hommes, Stefan"," State, Radu"
"Panagiotidis, Theodore"," Stengos, Thanasis"
"Panagiotidis, Theodore"," Vravosinos, Orestis"
" Stengos, Thanasis"," Vravosinos, Orestis"
"Nagata, Kodai"," Kikuchi, Hiroaki"
"Nagata, Kodai"," Fan, Chun-I"
" Kikuchi, Hiroaki"," Fan, Chun-I"
"Sakiz, Burcu"," Kutlugun, Esra"
"Moore, Tyler"," Christin, Nicolas"
"Moore, Tyler"," Szurdi, Janos"
" Christin, Nicolas"," Szurdi, Janos"
"Bao, Zijian"," Wang, Bin"
"Bao, Zijian"," Shi, Wenbo"
" Wang, Bin"," Shi, Wenbo"
"Ziegeldorf, Jan Henrik"," Matzutt, Roman"
"Ziegeldorf, Jan Henrik"," Henze, Martin"
"Ziegeldorf, Jan Henrik"," Grossmann, Fred"
"Ziegeldorf, Jan Henrik"," Wehrle, Klaus"
" Matzutt, Roman"," Henze, Martin"
" Matzutt, Roman"," Grossmann, Fred"
" Matzutt, Roman"," Wehrle, Klaus"
" Henze, Martin"," Grossmann, Fred"
" Henze, Martin"," Wehrle, Klaus"
" Grossmann, Fred"," Wehrle, Klaus"
"Karalevicius, Vytautas"," Degrande, Niels"
"Karalevicius, Vytautas"," De Weerdt, Jochen"
" Degrande, Niels"," De Weerdt, Jochen"
"Kim, Suah"," Kim, Beomjoong"
"Kim, Suah"," Kim, Hyoung Joong"
" Kim, Beomjoong"," Kim, Hyoung Joong"
"Gandal, Neil"," Hamrick, J. T."
"Gandal, Neil"," Moore, Tyler"
"Gandal, Neil"," Oberman, Tali"
" Hamrick, J. T."," Moore, Tyler"
" Hamrick, J. T."," Oberman, Tali"
" Moore, Tyler"," Oberman, Tali"
"Henriques, Irene"," Sadorsky, Perry"
"Bala, R."," Manoharan, R."
"Pant, Dibakar Raj"," Neupane, Prasanga"
"Pant, Dibakar Raj"," Poudel, Anuj"
"Pant, Dibakar Raj"," Pokhrel, Anup Kumar"
"Pant, Dibakar Raj"," Lama, Bishnu Kumar"
" Neupane, Prasanga"," Poudel, Anuj"
" Neupane, Prasanga"," Pokhrel, Anup Kumar"
" Neupane, Prasanga"," Lama, Bishnu Kumar"
" Poudel, Anuj"," Pokhrel, Anup Kumar"
" Poudel, Anuj"," Lama, Bishnu Kumar"
" Pokhrel, Anup Kumar"," Lama, Bishnu Kumar"
"Jourdan, Marc"," Blandin, Sebastien"
"Jourdan, Marc"," Wynter, Laura"
"Jourdan, Marc"," Deshpande, Pralhad"
" Blandin, Sebastien"," Wynter, Laura"
" Blandin, Sebastien"," Deshpande, Pralhad"
" Wynter, Laura"," Deshpande, Pralhad"
"Watanabe, Hiroki"," Ohashi, Shigenori"
"Watanabe, Hiroki"," Fujimura, Shigeru"
"Watanabe, Hiroki"," Nakadaira, Atsushi"
"Watanabe, Hiroki"," Hidaka, Kota"
"Watanabe, Hiroki"," Kishigami, Jay"
" Ohashi, Shigenori"," Fujimura, Shigeru"
" Ohashi, Shigenori"," Nakadaira, Atsushi"
" Ohashi, Shigenori"," Hidaka, Kota"
" Ohashi, Shigenori"," Kishigami, Jay"
" Fujimura, Shigeru"," Nakadaira, Atsushi"
" Fujimura, Shigeru"," Hidaka, Kota"
" Fujimura, Shigeru"," Kishigami, Jay"
" Nakadaira, Atsushi"," Hidaka, Kota"
" Nakadaira, Atsushi"," Kishigami, Jay"
" Hidaka, Kota"," Kishigami, Jay"
"Yang, Chen"," Wang, Haohong"
"Alvarez-Ramirez, J."," Rodriguez, E."
"Alvarez-Ramirez, J."," Ibarra-Valdez, C."
" Rodriguez, E."," Ibarra-Valdez, C."
"Singh, Hrishikesh"," Agarwal, Parul"
"Li, Juanjuan"," Yuan, Yong"
"Li, Juanjuan"," Wang, Shuai"
"Li, Juanjuan"," Wang, Fei-Yue"
"Wang, Jying-Nan"," Hsu, Yuan-Teng"
"Wang, Jying-Nan"," Chen, Chih-Chun"
" Hsu, Yuan-Teng"," Chen, Chih-Chun"
"Arutunyan, Manya"," Skhvediani, Angi"
"Arutunyan, Manya"," Kudryavtseva, Tatiana"
"Arutunyan, Manya"," Novikov, Sergey"
" Skhvediani, Angi"," Kudryavtseva, Tatiana"
" Skhvediani, Angi"," Novikov, Sergey"
" Kudryavtseva, Tatiana"," Novikov, Sergey"
"Baur, Dirk G."," Hong, KiHoon"
"Baur, Dirk G."," Lee, Adrian D."
" Hong, KiHoon"," Lee, Adrian D."
"Thies, Sven"," Molnar, Peter"
"Tran, Muoi"," Luu, Loi"
"Tran, Muoi"," Kang, Min Suk"
"Tran, Muoi"," Bentov, Iddo"
"Tran, Muoi"," Saxena, Prateek"
" Luu, Loi"," Kang, Min Suk"
" Luu, Loi"," Bentov, Iddo"
" Luu, Loi"," Saxena, Prateek"
" Kang, Min Suk"," Bentov, Iddo"
" Kang, Min Suk"," Saxena, Prateek"
" Bentov, Iddo"," Saxena, Prateek"
"Liu, Si"," Liu, Yunxia"
"Liu, Si"," Lv, Guoning"
"Liu, Si"," Feng, Cong"
"Liu, Si"," Zhao, Hongguo"
" Liu, Yunxia"," Lv, Guoning"
" Liu, Yunxia"," Feng, Cong"
" Liu, Yunxia"," Zhao, Hongguo"
" Lv, Guoning"," Feng, Cong"
" Lv, Guoning"," Zhao, Hongguo"
" Feng, Cong"," Zhao, Hongguo"
"Tiwari, Aviral Kumar"," Jana, R. K."
"Tiwari, Aviral Kumar"," Das, Debojyoti"
"Tiwari, Aviral Kumar"," Roubaud, David"
" Jana, R. K."," Das, Debojyoti"
" Jana, R. K."," Roubaud, David"
" Das, Debojyoti"," Roubaud, David"
"El Jebari, Ouael"," Hakmaoui, Abdelati"
"Ozyilmaz, Kazim Rifat"," Patel, Harsh"
"Ozyilmaz, Kazim Rifat"," Malik, Ankit"
" Patel, Harsh"," Malik, Ankit"
"Seo, Junwoo"," Park, Mookyu"
"Seo, Junwoo"," Oh, Haengrok"
"Seo, Junwoo"," Lee, Kyungho"
" Park, Mookyu"," Oh, Haengrok"
" Park, Mookyu"," Lee, Kyungho"
" Oh, Haengrok"," Lee, Kyungho"
Jiang Yonghong, Nie He
Jiang Yonghong, Ruan Weihua
 Nie He, Ruan Weihua
"Bacao, Pedro"," Duarte, Antonio Portugal"
"Bacao, Pedro"," Sebastiao, Helder"
"Bacao, Pedro"," Redzepagic, Srdjan"
" Duarte, Antonio Portugal"," Sebastiao, Helder"
" Duarte, Antonio Portugal"," Redzepagic, Srdjan"
" Sebastiao, Helder"," Redzepagic, Srdjan"
" Kudryavtseva, Tatiana"," Skhvediani, Angi"
"Lahmiri, Salim"," Bekiros, Stelios"
"Lahmiri, Salim"," Salvi, Antonio"
" Bekiros, Stelios"," Salvi, Antonio"
"Maesa, Damiano Di Francesco"," Marino, Andrea"
" Marino, Andrea"," Ricci, Laura"
"Ghimire, Suman"," Selvaraj, Henry"
"Aggarwal, Shivani"," Santosh, Mayank"
"Aggarwal, Shivani"," Bedi, Prateek"
" Santosh, Mayank"," Bedi, Prateek"
"Lambrecht, Maxime"," Larue, Louis"
"Conti, Mauro"," Gangwal, Ankit"
"Conti, Mauro"," Ruj, Sushmita"
" Gangwal, Ankit"," Ruj, Sushmita"
"Chaim, Pedro"," Laurini, Marcio P."
"Hong, Younggee"," Kwon, Hyunsoo"
"Hong, Younggee"," Lee, Jihwan"
"Hong, Younggee"," Hur, Junbeom"
" Kwon, Hyunsoo"," Lee, Jihwan"
" Kwon, Hyunsoo"," Hur, Junbeom"
" Lee, Jihwan"," Hur, Junbeom"
Wu Chih-Hung, Ma Yu-Feng
Wu Chih-Hung, Lu Chih-Chiang
Wu Chih-Hung, Lu Ruei-Shan
 Ma Yu-Feng, Lu Chih-Chiang
 Ma Yu-Feng, Lu Ruei-Shan
 Lu Chih-Chiang, Lu Ruei-Shan
"Burchert, Conrad"," Decker, Christian"
"Burchert, Conrad"," Wattenhofer, Roger"
" Decker, Christian"," Wattenhofer, Roger"
"Su, Chi-Wei"," Li, Zheng-Zheng"
"Su, Chi-Wei"," Tao, Ran"
"Su, Chi-Wei"," Si, Deng-Kui"
" Li, Zheng-Zheng"," Tao, Ran"
" Li, Zheng-Zheng"," Si, Deng-Kui"
" Tao, Ran"," Si, Deng-Kui"
"Robberson, Stephanie J."," McCoy, Mark R."
"Klein, Tony", Hien Pham Thu
"Klein, Tony"," Walther, Thomas"
 Hien Pham Thu," Walther, Thomas"
