"Publication Type","Authors","Book Authors","Book Editors","Book Group Authors","Author Full Names","Book Author Full Names","Group Authors","Article Title","Source Title","Book Series Title","Book Series Subtitle","Language","Document Type","Conference Title","Conference Date","Conference Location","Conference Sponsor","Conference Host","Author Keywords","Keywords Plus","Abstract","Addresses","Affiliations","Reprint Addresses","Email Addresses","Researcher Ids","ORCIDs","Funding Orgs","Funding Name Preferred","Funding Text","Cited References","Cited Reference Count","Times Cited, WoS Core","Times Cited, All Databases","180 Day Usage Count","Since 2013 Usage Count","Publisher","Publisher City","Publisher Address","ISSN","eISSN","ISBN","Journal Abbreviation","Journal ISO Abbreviation","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Meeting Abstract","Start Page","End Page","Article Number","DOI","DOI Link","Book DOI","Early Access Date","Number of Pages","WoS Categories","Web of Science Index","Research Areas","IDS Number","Pubmed Id","Open Access Designations","Highly Cited Status","Hot Paper Status","Date of Export","UT (Unique WOS ID)","Web of Science Record"
"J","Sattath, O","","","","Sattath, Or","","","On the insecurity of quantum Bitcoin mining","INTERNATIONAL JOURNAL OF INFORMATION SECURITY","","","English","Article","","","","","","Bitcoin; Cryptocurrencies; Proof of work; Quantum computing; Quantum cryptography; Grover's algorithm; Security; Post-quantum cryptography","","Grover's algorithm confers on quantum computers a quadratic advantage over classical computers for searching in an arbitrary data set, a scenario that describes Bitcoin mining. It has previously been argued that the only side effect of quantum mining would be an increased difficulty. In this work, we argue that a crucial argument in the analysis of Bitcoin security breaks down when quantum mining is performed. Classically, a Bitcoin fork occurs rarely, i.e., when two miners find a block almost simultaneously, due to propagation time effects. The situation differs dramatically when quantum miners use Grover's algorithm, which repeatedly applies a procedure called a Grover iteration. The chances of finding a block grow quadratically with the number of Grover iterations applied. Crucially, a miner does not have to choose how many iterations to apply in advance. Suppose Alice receives Bob's new block. To maximize her revenue, she should stop and measure her state immediately in the hopes that her block (rather than Bob's) will become part of the longest chain. The strong correlation between the miners' actions and the fact that they all measure their states at the same time may lead to more forks-which is known to be a security risk for Bitcoin. We propose a mechanism that, we conjecture, will prevent this form of quantum mining, thereby circumventing the high rate of forks.","[Sattath, Or] Ben Gurion Univ Negev, Comp Sci Dept, Beer Sheva, Israel","Ben Gurion University","Sattath, O (corresponding author), Ben Gurion Univ Negev, Comp Sci Dept, Beer Sheva, Israel.","sattath@gmail.com","","Sattath, Or/0000-0001-7567-3822","","","","","39","2","2","0","7","SPRINGER","NEW YORK","ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","1615-5262","1615-5270","","INT J INF SECUR","Int. J. Inf. Secur.","JUN","2020","19","3","","","SI","","291","302","","10.1007/s10207-020-00493-9","http://dx.doi.org/10.1007/s10207-020-00493-9","","","12","Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science, Theory & Methods","Science Citation Index Expanded (SCI-EXPANDED)","Computer Science","LN5LP","","Green Submitted","","","2022-12-04","WOS:000532979100005","View Full Record in Web of Science"
"J","Chen, SL; Dong, H","","","","Chen, Shuanglian; Dong, Hao","","","Dynamic Network Connectedness of Bitcoin Markets: Evidence from Realized Volatility","FRONTIERS IN PHYSICS","","","English","Article","","","","","","asymmetric; connectedness; bitcoin; realized volatility; good and bad volatility; common and idiosyncratic volatility","CRUDE-OIL; RISK SPILLOVER; ENERGY; PRICE; RETURNS; CONTAGION; FUTURES; LINKAGES; EXCHANGE; DOLLAR","In this paper, we explore the volatility spillovers across different Bitcoin markets. We decompose the realized volatility into common and idiosyncratic volatilities, as well as the good and bad volatilities. Then the asymmetry in volatility spillovers between Bitcoin markets is measured by the DY (Diebold and Yilmaz) index. In addition, we construct statistics to test the asymmetry in volatility spillovers between different Bitcoin markets. The results are achieved as follows. The spillovers of systematic and idiosyncratic volatilities dominate the connectedness among different Bitcoin markets. In addition, the idiosyncratic volatility spillovers are more easily influenced by policies. Good volatility spillovers dominate the Bitcoin markets and change over time. The further results suggest that there is significant asymmetry between systematic and idiosyncratic volatility spillovers in the Bitcoin markets, while the asymmetries between good and bad volatility spillovers are heterogeneous in different markets. The findings in this paper can provide some suggestions for regulators controlling market stability and investors generating investment strategies.","[Chen, Shuanglian] Guangzhou Int Inst Finance, Guangzhou, Peoples R China; [Chen, Shuanglian] Guangzhou Univ, Guangzhou, Peoples R China; [Dong, Hao] Guangzhou Univ, Sch Econ & Stat, Guangzhou, Peoples R China","Guangzhou University; Guangzhou University","Dong, H (corresponding author), Guangzhou Univ, Sch Econ & Stat, Guangzhou, Peoples R China.","donghao@e.gzhu.edu.cn","","","National Science Foundation of Guangdong Province [2020A1515010746]","National Science Foundation of Guangdong Province(National Natural Science Foundation of Guangdong Province)","This research was funded by the National Science Foundation of Guangdong Province, grant number 2020A1515010746.","","61","1","1","5","21","FRONTIERS MEDIA SA","LAUSANNE","AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","2296-424X","","","FRONT PHYS-LAUSANNE","Front. Physics","NOV 26","2020","8","","","","","","","","582817","10.3389/fphy.2020.582817","http://dx.doi.org/10.3389/fphy.2020.582817","","","17","Physics, Multidisciplinary","Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)","Physics","PC2VC","","gold","","","2022-12-04","WOS:000596863700001","View Full Record in Web of Science"
"J","Nadeem, MA; Liu, ZY; Pitafi, AH; Younis, A; Xu, Y","","","","Nadeem, Muhammad Athar; Liu, Zhiying; Pitafi, Abdul Hameed; Younis, Amna; Xu, Yi","","","Investigating the repurchase intention of Bitcoin: empirical evidence from China","DATA TECHNOLOGIES AND APPLICATIONS","","","English","Article","","","","","","Bitcoin; Satisfaction; Perceived ease of use; Perceived enjoyment; Repurchase intention; Expectation confirmation model","EXPECTATION-CONFIRMATION MODEL; STRUCTURAL EQUATION MODELS; CONTINUANCE INTENTION; USER ACCEPTANCE; COMPUTER-TECHNOLOGY; PERCEIVED ENJOYMENT; SERVICE QUALITY; PLS-SEM; SATISFACTION; BLOCKCHAIN","Purpose Cryptocurrencies, such as Bitcoin, generate innovative and fast exchanges without any physical form and facilitate online payments; thus, they may bring about revolutions of the future economic system. Recent investigations reveal that China, the second largest Bitcoin market, accounts for a huge volume of Bitcoin trading and mining, which can cast distinct influences on future values of Bitcoin. Therefore, it would be of great significance to probe into the repurchase intention of Bitcoin of the Chinese individuals. Design/methodology/approach One hundred and forty-three questionnaires were collected from Chinese respondents. SPPS was employed for data analysis of the proposed hypotheses. Findings The results show that expectation has a positive impact on perceived enjoyment and perceived ease of use. A positive relationship between perceived ease of use and perceived enjoyment was confirmed. The findings also reveal that expectation, perceived enjoyment and perceived ease of use have significant impact on satisfaction. Moreover, it is found that perceived enjoyment, perceived ease of use and satisfaction significantly influence the repurchase intention of Bitcoin. Research limitations/implications This study encourages future comparative studies to be conducted. Besides, it is recommended to find out other possible antecedents of repurchase intention. Moreover, this study suggested negative effects of Bitcoin to be explored. Practical implications In a practical standpoint, this study provides valuable suggestions about cryptocurrencies use and regularization. For instance, education and learnability issues of novice users need to be considered. Further, the regularization/implementation of cryptocurrencies/blockchain technologies is also suggested. Originality/value This is the pioneer endeavor which investigates the repurchase intention of Bitcoin. The findings explore some of the possible antecedents which influence repurchase intention of Bitcoin. These findings provide valuable insights and enrich the existing body of literature in the domain of Bitcoin.","[Nadeem, Muhammad Athar; Liu, Zhiying; Xu, Yi] Univ Sci & Technol China, Sch Management, Hefei, Peoples R China; [Pitafi, Abdul Hameed] Sir Syed Univ Engn & Technol Karachi, Dept Comp Sci, Sindh, Pakistan; [Pitafi, Abdul Hameed] Hefei Univ Technol, Sch Management, Hefei, Peoples R China; [Younis, Amna] Univ Sci & Technol China, Sch Publ Affairs, Hefei, Peoples R China","Chinese Academy of Sciences; University of Science & Technology of China, CAS; Hefei University of Technology; Chinese Academy of Sciences; University of Science & Technology of China, CAS","Xu, Y (corresponding author), Univ Sci & Technol China, Sch Management, Hefei, Peoples R China.","athar@mail.ustc.edu.cn; liuzhiy@ustc.edu.cn; hameedpitafi@hfut.edu.cn; amna@mail.ustc.edu.cn; xuyi@ustc.edu.cn","","Pitafi, Abdul Hameed/0000-0002-2781-267X","National Natural Science Foundation of China [71472172, WY2040150003]","National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))","This research is supported by the National Natural Science Foundation of China (Project Fund No. 71472172) and Project Fund No. WY2040150003.","","104","8","8","6","24","EMERALD GROUP PUBLISHING LTD","BINGLEY","HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","2514-9288","2514-9318","","DATA TECHNOL APPL","Data Technol. Appl.","NOV 9","2020","54","5","","","","","625","642","","10.1108/DTA-10-2019-0182","http://dx.doi.org/10.1108/DTA-10-2019-0182","","AUG 2020","18","Computer Science, Information Systems; Information Science & Library Science","Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)","Computer Science; Information Science & Library Science","OP9ZM","","","","","2022-12-04","WOS:000558301500001","View Full Record in Web of Science"
"J","Resta, M; Pagnottoni, P; De Giuli, ME","","","","Resta, Marina; Pagnottoni, Paolo; De Giuli, Maria Elena","","","Technical Analysis on the Bitcoin Market: Trading Opportunities or Investors' Pitfall?","RISKS","","","English","Article","","","","","","technical analysis; trading rules; profitability; Bitcoin","PRICE DISCOVERY; INEFFICIENCY; GOLD","In this paper we aimed to examine the profitability of technical trading rules in the Bitcoin market by using trend-following and mean-reverting strategies. We applied our strategies on the Bitcoin price series sampled both at 5-min intervals and on a daily basis, during the period 1 January 2012 to 20 August 2019. Our findings suggest that, overall, trading on daily data is more profitable than going intraday. Furthermore, we concluded that the Buy and Hold strategy outperforms the examined alternatives on an intraday basis, while Simple Moving Averages yield the best performances when dealing with daily data.","[Resta, Marina] Univ Genoa, Dept Econ & Business Studies, I-16126 Genoa, GE, Italy; [Pagnottoni, Paolo; De Giuli, Maria Elena] Univ Pavia, Dept Econ & Management, I-27100 Pavia, PV, Italy","University of Genoa; University of Pavia","Pagnottoni, P (corresponding author), Univ Pavia, Dept Econ & Management, I-27100 Pavia, PV, Italy.","marina.resta@economia.unige.it; paolo.pagnottoni@unipv.it; elena.degiuli@unipv.it","Resta, Marina/B-5888-2011; Pagnottoni, Paolo/AAB-1099-2021","Resta, Marina/0000-0003-0994-9151; Pagnottoni, Paolo/0000-0002-0215-4092; De Giuli, Maria Elena/0000-0002-5221-0005","","","","","31","14","14","1","11","MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","","2227-9091","","RISKS","Risks","JUN","2020","8","2","","","","","","","44","10.3390/risks8020044","http://dx.doi.org/10.3390/risks8020044","","","15","Business, Finance","Emerging Sources Citation Index (ESCI)","Business & Economics","MO0KQ","","Green Published, gold","","","2022-12-04","WOS:000551226600002","View Full Record in Web of Science"
"J","Zhang, LJ; Zhang, ZJ; Wang, WZ; Waqas, R; Zhao, CH; Kim, S; Chen, HL","","","","Zhang, Lejun; Zhang, Zhijie; Wang, Weizheng; Waqas, Rasheed; Zhao, Chunhui; Kim, Seokhoon; Chen, Huiling","","","A Covert Communication Method Using Special Bitcoin Addresses Generated by Vanitygen","CMC-COMPUTERS MATERIALS & CONTINUA","","","English","Article","","","","","","Covert communication; blockchain; Bitcoin address","INFORMATION","As an extension of the traditional encryption technology, information hiding has been increasingly used in the fields of communication and network media, and the covert communication technology has gradually developed. The blockchain technology that has emerged in recent years has the characteristics of decentralization and tamper resistance, which can effectively alleviate the disadvantages and problems of traditional covert communication. However, its combination with covert communication thus far has been mostly at the theoretical level. The BLOCCE method, as an early result of the combination of blockchain and covert communication technology, has the problems of low information embedding efficiency, the use of too many Bitcoin addresses, low communication efficiency, and high costs. The present research improved on this method, designed the V-BLOCCE which uses base58 to encrypt the plaintext and reuses the addresses generated by Vanitygen multiple times to embed information. This greatly improves the efficiency of information embedding and decreases the number of Bitcoin addresses used. Under the premise of ensuring the order, the Bitcoin transaction OP_RETURN field is used to store the information required to restore the plaintext and the transactions are issued at the same time to improve the information transmission efficiency. Thus, a more efficient and feasible method for the application of covert communication on the blockchain is proposed. In addition, this paper also provides a more feasible scheme and theoretical support for covert communication in blockchain.","[Zhang, Lejun; Zhang, Zhijie; Waqas, Rasheed; Zhao, Chunhui] Yangzhou Univ, Coll Informat Engn, Yangzhou 225127, Jiangsu, Peoples R China; [Zhang, Lejun] Quanzhou Normal Univ, Sch Math & Comp Sci, Quanzhou 362000, Peoples R China; [Wang, Weizheng] Univ Aizu, Aizu Wakamatsu 9658580, Japan; [Zhao, Chunhui] Harbin Engn Univ, Coll Informat & Commun Engn, Harbin 150001, Peoples R China; [Kim, Seokhoon] Soonchunhyang Univ, Dept Comp Software Engn, Asan, South Korea; [Chen, Huiling] Wenzhou Univ, Dept Comp Sci & Artificial Intelligence, Wenzhou 325035, Peoples R China","Yangzhou University; Quanzhou Normal University; University of Aizu; Harbin Engineering University; Soonchunhyang University; Wenzhou University","Chen, HL (corresponding author), Wenzhou Univ, Dept Comp Sci & Artificial Intelligence, Wenzhou 325035, Peoples R China.","chenhuiling.jlu@gmail.com","Chen, Huiling/N-8510-2019","Chen, Huiling/0000-0002-7714-9693","Natural Science Foundation of Heilongjiang Province of China [LC2016024]; Natural Science Foundation of the Jiangsu Higher Education Institutions [17KJB520044]; Six Talent Peaks Project in Jiangsu Province [XYDXX-108]","Natural Science Foundation of Heilongjiang Province of China(Natural Science Foundation of Heilongjiang Province); Natural Science Foundation of the Jiangsu Higher Education Institutions; Six Talent Peaks Project in Jiangsu Province","This work is sponsored by the Natural Science Foundation of Heilongjiang Province of China under Grant No. LC2016024. Natural Science Foundation of the Jiangsu Higher Education Institutions Grant No. 17KJB520044 and Six Talent Peaks Project in Jiangsu Province No. XYDXX-108.","","30","36","37","3","13","TECH SCIENCE PRESS","HENDERSON","871 CORONADO CENTER DR, SUTE 200, HENDERSON, NV 89052 USA","1546-2218","1546-2226","","CMC-COMPUT MATER CON","CMC-Comput. Mat. Contin.","","2020","65","1","","","","","597","616","","10.32604/cmc.2020.011554","http://dx.doi.org/10.32604/cmc.2020.011554","","","20","Computer Science, Information Systems; Materials Science, Multidisciplinary","Science Citation Index Expanded (SCI-EXPANDED)","Computer Science; Materials Science","MP5PC","","gold","","","2022-12-04","WOS:000552255300036","View Full Record in Web of Science"
"J","Sala, M; Sogiorno, D; Taufer, D","","","","Sala, Massimiliano; Sogiorno, Domenica; Taufer, Daniele","","","A Small Subgroup Attack on Bitcoin Address Generation","MATHEMATICS","","","English","Article","","","","","","bitcoin; cryptography; digital signature (DS); blockchain; finite fields","","We show how a small subgroup confinement-like attack may be mounted on the Bitcoin addresses generation protocol, by inspecting a special subgroup of the group associated to point multiplication. This approach does not undermine the system security but highlights the importance of using fair random sources during the private key selection.","[Sala, Massimiliano] Univ Trento, Dept Math, Via Sommar 14, I-38123 Povo, TN, Italy; [Sogiorno, Domenica] Univ Bari, Dept Math, I-70121 Bari, Italy; [Taufer, Daniele] CISPA Helmholtz Ctr Informat Secur, D-66123 Saarbrucken, Germany","University of Trento; Universita degli Studi di Bari Aldo Moro","Sala, M (corresponding author), Univ Trento, Dept Math, Via Sommar 14, I-38123 Povo, TN, Italy.","massimiliano.sala@unitn.it; domenicasogiorno@gmail.com; daniele.taufer@cispa.saarland","Sala, Massimiliano/AAH-1243-2020","Sala, Massimiliano/0000-0002-7266-5146; Taufer, Daniele/0000-0003-3402-4863","European Union's H2020 Programme [ERC-669891]","European Union's H2020 Programme","This note has been supported in part by the European Union's H2020 Programme under grant agreement number ERC-669891.","","19","3","3","1","3","MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","","2227-7390","","MATHEMATICS-BASEL","Mathematics","OCT","2020","8","10","","","","","","","1645","10.3390/math8101645","http://dx.doi.org/10.3390/math8101645","","","8","Mathematics","Science Citation Index Expanded (SCI-EXPANDED)","Mathematics","OL3YE","","gold, Green Submitted","","","2022-12-04","WOS:000585278700001","View Full Record in Web of Science"
"J","Bedi, P; Nashier, T","","","","Bedi, Prateek; Nashier, Tripti","","","On the investment credentials of Bitcoin: A cross-currency perspective","RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE","","","English","Article","","","","","","Bitcoin; Modified conditional value-at-risk; Portfolio diversification; Portfolio optimisation; Performance evaluation; Cross-currency analysis","VALUE-AT-RISK; PORTFOLIO SELECTION; MEAN-VARIANCE; SAFE-HAVEN; NAIVE DIVERSIFICATION; UNCERTAIN MEANS; HEDGE; CRYPTOCURRENCIES; PERFORMANCE; GOLD","We examine diversification capabilities of Bitcoin for a global portfolio spread across six asset classes from the standpoint of investors dealing in five major fiat currencies namely US Dollar, Great Britain Pound, Euro, Japanese Yen and Chinese Yuan. Considering the period of prolonged decline in Bitcoin's value throughout 2018, we employ modified conditional value-at-risk and standard deviation as measures of risk to perform portfolio optimisations across three asset allocation strategies. Results show that portfolios denominated in Japanese Yen, Chinese Yuan and US Dollar account for greater proportion of optimal investment in Bitcoin and exhibit higher improvement in risk-adjusted returns due to investment in Bitcoin. We also perform a comprehensive risk-adjusted evaluation of portfolios with and without Bitcoin to reinforce striking variation in degree of diversification benefits of Bitcoin in a cross-currency context. Taken together, our findings provide insights into sharp disparity in Bitcoin trading volumes across national currencies from a portfolio theory perspective.","[Bedi, Prateek; Nashier, Tripti] Univ Delhi, Dept Financial Studies, Benito Juarez Marg,South Campus, Delhi 110021, India","University of Delhi","Bedi, P (corresponding author), Univ Delhi, Dept Financial Studies, Benito Juarez Marg,South Campus, Delhi 110021, India.","prateekbedi.du@gmail.com; tripti.nashier@gmail.com","","","","","","","142","13","13","1","15","ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0275-5319","1878-3384","","RES INT BUS FINANC","Res. Int. Bus. Financ.","JAN","2020","51","","","","","","","","101087","10.1016/j.ribaf.2019.101087","http://dx.doi.org/10.1016/j.ribaf.2019.101087","","","21","Business, Finance","Social Science Citation Index (SSCI)","Business & Economics","JV7IN","","","","","2022-12-04","WOS:000502534700033","View Full Record in Web of Science"
"J","Ni, PF; Li, HD; Pan, DX","","","","Ni, Peifang; Li, Hongda; Pan, Dongxue","","","Analysis of bitcoin backbone protocol in the non-flat model","SCIENCE CHINA-INFORMATION SCIENCES","","","English","Article","","","","","","bitcoin system; proof-of-work; computational power; non-flat model; transaction ledger","","Owing to the novel proof-of-work based consensus algorithm, bitcoin has been the most successful decentralized cryptocurrency so far. In bitcoin system, parties (miners) compete to create blocks by doing publicly verifiable proofs of sequential work (proof-of-work) and the probability that a party wins the competition is proportional to the amount of computational power that he has invested. Note that its security holds under honest majority assumption in terms of the amount of computational power. In this paper, we provide the formal analysis of bitcoin backbone protocol in the non-flat model. Precisely, we rethink and redefine the model of computing puzzles to capture the real-world protocol execution, where each party owns different amount of computational power and does sequential computations towards a puzzle independently. Fortunately, our work obtains the better results in analyzing the security of bitcoin backbone protocol, which can reflect the real-world protocol execution better, without any additional assumptions but the honest majority assumption. Finally, we show that a robust public transaction ledger can be built on top of bitcoin backbone protocol in our model securely.","[Ni, Peifang; Li, Hongda; Pan, Dongxue] Chinese Acad Sci, Inst Informat Engn, State Key Lab Informat Secur, Beijing 100093, Peoples R China; [Ni, Peifang; Li, Hongda; Pan, Dongxue] Univ Chinese Acad Sci, Sch Cyber Secur, Beijing 100049, Peoples R China; [Ni, Peifang; Li, Hongda; Pan, Dongxue] Chinese Acad Sci, Data Assurance & Commun Secur Res Ctr, Beijing 100093, Peoples R China","Chinese Academy of Sciences; Institute of Information Engineering, CAS; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Chinese Academy of Sciences","Li, HD (corresponding author), Chinese Acad Sci, Inst Informat Engn, State Key Lab Informat Secur, Beijing 100093, Peoples R China.;Li, HD (corresponding author), Univ Chinese Acad Sci, Sch Cyber Secur, Beijing 100049, Peoples R China.;Li, HD (corresponding author), Chinese Acad Sci, Data Assurance & Commun Secur Res Ctr, Beijing 100093, Peoples R China.","lihongda@iie.ac.cn","","","National Key R&D Program of China [2017YFB0802500]; Beijing Municipal Science and Technology Project [Z191100007119007]","National Key R&D Program of China; Beijing Municipal Science and Technology Project","This work was supported by National Key R&D Program of China (Grant No. 2017YFB0802500) and Beijing Municipal Science and Technology Project (Grant No. Z191100007119007).","","29","0","0","2","6","SCIENCE PRESS","BEIJING","16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA","1674-733X","1869-1919","","SCI CHINA INFORM SCI","Sci. China-Inf. Sci.","FEB 11","2020","63","3","","","SI","","","","130105","10.1007/s11432-019-2698-1","http://dx.doi.org/10.1007/s11432-019-2698-1","","","14","Computer Science, Information Systems; Engineering, Electrical & Electronic","Science Citation Index Expanded (SCI-EXPANDED)","Computer Science; Engineering","KN6BB","","","","","2022-12-04","WOS:000514919700001","View Full Record in Web of Science"
"J","Li, JJ; Yuan, Y; Wang, FY","","","","Li, Juanjuan; Yuan, Yong; Wang, Fei-Yue","","","Analyzing Bitcoin transaction fees using a queueing game model","ELECTRONIC COMMERCE RESEARCH","","","English","Article","","","","","","Bitcoin; Blockchain; Transaction fees; Transaction confirmation queueing game","","In the Bitcoin system, large numbers of miners invest massive computing resources in the blockchain mining process in pursuit of Bitcoin rewards, which are comprised of a fixed amount of system-generated new block reward and a variable amount of user-submitted transaction fees. Here, transaction fees serve as the important tuner for the Bitcoin system to define the priorities in users' transaction confirmation. In this paper, we aim to study the priority rule for queueing transactions based on their associated fees, and in turn users' strategies in formulating their fees in the transaction confirmation game. We first establish a full-information game-theoretical model to study users' equilibrium fee decisions; and then discuss three types of Nash equilibria, under which no, all and some users submit transaction fees. Moreover, we conduct empirical studies and design computational experiments to validate our theoretical analysis. The experimental results show that (1) users' fee decisions will be significantly affected by their waiting time; (2) the reduced time costs, instead of transaction values, are the basis for users to evaluate their revenues; (3) longer waiting time and higher unit time cost drive users to submit transaction fees in pursuit of desired priorities; (4) with the required transaction fee increasing, the proportion of fee-submitting users decreases slowly at first followed by a sharp decline, and over-high required fees will make the transaction confirmation game end up with no users submitting fees.","[Li, Juanjuan] Beijing Inst Technol, Sch Automat, Beijing 100081, Peoples R China; [Li, Juanjuan; Yuan, Yong; Wang, Fei-Yue] Chinese Acad Sci, Inst Automat, State Key Lab Management & Control Complex Syst, Beijing 100190, Peoples R China","Beijing Institute of Technology; Chinese Academy of Sciences; Institute of Automation, CAS","Yuan, Y (corresponding author), Chinese Acad Sci, Inst Automat, State Key Lab Management & Control Complex Syst, Beijing 100190, Peoples R China.","juanjuan.li@ia.ac.cn; yong.yuan@ia.ac.cn; feiyue.wang@ia.ac.cn","Yuan, Yuan/GVS-5120-2022","","National Natural Science Foundation of China [61533019]","National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))","We gratefully acknowledge the funding supports from the National Natural Science Foundation of China (#61533019).","","30","2","2","6","27","SPRINGER","DORDRECHT","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","1389-5753","1572-9362","","ELECTRON COMMER RES","Electron. Commer. Res.","MAR","2022","22","1","","","SI","","135","155","","10.1007/s10660-020-09414-3","http://dx.doi.org/10.1007/s10660-020-09414-3","","MAY 2020","21","Business; Management","Social Science Citation Index (SSCI)","Business & Economics","ZN0VD","","","","","2022-12-04","WOS:000553944600001","View Full Record in Web of Science"
"J","Kawase, Y; Kasahara, S","","","","Kawase, Yoshiaki; Kasahara, Shoji","","","PRIORITY QUEUEING ANALYSIS OF TRANSACTION-CONFIRMATION TIME FOR BITCOIN","JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION","","","English","Article","","","","","","Bitcoin; blockchain; transaction-confirmation time; priority queue","","In Bitcoin system, a transaction is given a priority value according to its attributes such as the remittance amount and fee, and transactions with high priorities are likely to be confirmed faster than those with low priorities. In this paper, we analyze the transaction-confirmation time for Bitcoin system. We model the transaction-confirmation process as a queueing system with batch service, M/G(B)/1. We consider the joint distribution of numbers of transactions in system and the elapsed service time, deriving the mean transaction-confirmation time. Using the result, we derive the recursive formulae of mean transaction-confirmation times of an M/G(B)/1 queue with priority service discipline. In numerical examples, we show the effect of the maximum block size on the mean transaction-confirmation time, investigating the accuracy region of our queueing model. We also discuss how the increase in micropayments, which are likely to be given low priorities, affects the transaction-confirmation time.","[Kawase, Yoshiaki; Kasahara, Shoji] Nara Inst Sci & Technol, Grad Sch Informat Sci, Takayama 8916-5, Ikoma, Nara 6300192, Japan","Nara Institute of Science & Technology","Kawase, Y (corresponding author), Nara Inst Sci & Technol, Grad Sch Informat Sci, Takayama 8916-5, Ikoma, Nara 6300192, Japan.","kawase.yoshiaki.km3@is.naist.jp; kasahara@is.naist.jp","","","SCAT Foundation [15H04008]","SCAT Foundation","The second author is supported by Grant-in-Aid for Scientific Research (B) No. 15H04008 and SCAT Foundation.","","10","6","6","1","5","AMER INST MATHEMATICAL SCIENCES-AIMS","SPRINGFIELD","PO BOX 2604, SPRINGFIELD, MO 65801-2604 USA","1547-5816","1553-166X","","J IND MANAG OPTIM","J. Ind. Manag. Optim.","MAY","2020","16","3","","","","","1077","1098","","10.3934/jimo.2018193","http://dx.doi.org/10.3934/jimo.2018193","","","22","Engineering, Multidisciplinary; Operations Research & Management Science; Mathematics, Interdisciplinary Applications","Science Citation Index Expanded (SCI-EXPANDED)","Engineering; Operations Research & Management Science; Mathematics","KX8IG","","gold","","","2022-12-04","WOS:000522118000003","View Full Record in Web of Science"
"J","Siu, TK; Elliott, RJ","","","","Siu, Tak Kuen; Elliott, Robert J.","","","Bitcoin option pricing with a SETAR-GARCH model","EUROPEAN JOURNAL OF FINANCE","","","English","Article","","","","","","Bitcoin options; regime switching; conditional heteroscedasticity; conditional Esscher transform; variance-dependent pricing kernel; threshold autoregressive models","VOLATILITY","This paper aims to study the pricing of Bitcoin options with a view to incorporating both conditional heteroscedasticity and regime switching in Bitcoin returns. Specifically, a nonlinear time series model combining both the self-exciting threshold autoregressive (SETAR) model and the generalized autoregressive conditional heteroscedastic (GARCH) model is adopted for modeling Bitcoin return dynamics. Specifically, the SETAR model is used to model regime switching and the Heston-Nandi GARCH model is adopted to model conditional heteroscedasticity. Both the conditional Esscher transform and the variance-dependent pricing kernel are used to specify pricing kernels. Numerical studies on the Bitcoin option prices using real bitcoins data are presented.","[Siu, Tak Kuen] Macquarie Univ, Macquarie Business Sch, Dept Actuarial Studies & Business Analyt, Sydney, NSW, Australia; [Elliott, Robert J.] Univ Calgary, Haskayne Sch Business, Calgary, AB, Canada; [Elliott, Robert J.] Univ South Australia, Sch Business, Adelaide, SA, Australia","Macquarie University; University of Calgary; University of South Australia","Siu, TK (corresponding author), Macquarie Univ, Macquarie Business Sch, Dept Actuarial Studies & Business Analyt, Sydney, NSW, Australia.","Ken.Siu@mq.edu.au","","Elliott, Robert/0000-0002-5486-6999; Siu, Tak Kuen/0000-0003-2823-5138","Australian Research Council (ARC) [DP190102674]","Australian Research Council (ARC)(Australian Research Council)","We wish to acknowledge the support from the Discovery Grant from the Australian Research Council (ARC), (Project Number: DP190102674).","","93","7","7","2","25","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","1351-847X","1466-4364","","EUR J FINANC","Eur. J. Financ.","APR 13","2021","27","6","","","","","564","595","","10.1080/1351847X.2020.1828962","http://dx.doi.org/10.1080/1351847X.2020.1828962","","OCT 2020","32","Business, Finance","Social Science Citation Index (SSCI)","Business & Economics","QN0OT","","Green Accepted","","","2022-12-04","WOS:000577956100001","View Full Record in Web of Science"
